"yearID","lgID","teamID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","salary","RBI","GIDP","IBB","TB","SLG","OBP","OPS","WHIP","BABIP","RC","X1B","uBB","wOBA"
2001,"NL","CIN","CIN","C",5,162,81,66,96,"N","N","N","N",735,5583,1464,304,22,176,468,1172,103,54,65,40,850,765,4.77,2,2,35,4328,1572,198,515,943,138,136,0.978,"Cincinnati Reds","Cinergy Field",1879757,105,105,"CIN","CIN","CIN",48986000,690,130,47,2340,0.419129500268673,0.324398960363873,0.743528460632545,1.44662661737523,0.301286549707602,747.129400099157,962,421,0.324896055000818
2001,"AL","CLE","CLE","C",1,162,80,91,71,"Y","N","N","N",897,5600,1559,294,37,212,577,1076,79,41,69,62,821,746,4.64,3,4,42,4340,1512,148,573,1218,107,137,0.982,"Cleveland Indians","Jacobs Field",3175523,100,100,"CLE","CLE","CLE",93152001,868,126,32,2563,0.457678571428571,0.349556119213697,0.807234690642268,1.44124423963134,0.307956104252401,886.282661486158,1016,545,0.351894518801785
2001,"NL","COL","COL","W",5,162,81,73,89,"N","N","N","N",923,5690,1663,324,61,213,511,1027,132,54,61,50,906,841,5.29,8,8,26,4290,1522,239,598,1058,96,167,0.984,"Colorado Rockies","Coors Field",3166821,122,122,"COL","COL","COL",71541334,874,116,50,2748,0.482952548330404,0.354087452471483,0.837040000801887,1.48251748251748,0.322222222222222,963.417513304306,1065,461,0.362098371127435
2001,"AL","DET","DET","C",4,162,81,66,96,"N","N","N","N",724,5537,1439,291,60,139,466,972,133,61,51,49,876,795,5.01,16,2,34,4288,1624,180,553,859,131,164,0.979,"Detroit Tigers","Comerica Park",1921305,93,95,"DET","DET","DET",53416167,691,120,26,2267,0.409427487809283,0.320498115680813,0.729925603490096,1.52308768656716,0.290502793296089,719.412793603198,949,440,0.319828862925786
2001,"NL","FLO","FLA","E",4,162,80,76,86,"N","N","N","N",742,5542,1461,325,30,166,470,1145,89,40,67,45,744,691,4.32,5,11,32,4314,1397,151,617,1119,103,174,0.983,"Florida Marlins","Pro Player Stadium",1261226,97,97,"FLA","FLO","FLO",35762500,713,118,43,2344,0.422952002887044,0.326257348138472,0.749209351025516,1.40055632823366,0.302853133769878,752.871590153027,940,427,0.327153428712383
2001,"NL","HOU","HOU","C",1,162,81,93,69,"Y","N","N","N",847,5528,1500,313,29,208,581,1119,64,49,89,56,769,707,4.37,7,6,48,4364,1453,221,486,1228,110,138,0.982,"Houston Astros","Enron Field",2904277,107,106,"HOU","HOU","HOU",60612667,805,128,52,2495,0.451338639652677,0.346977934122162,0.798316573774839,1.33295142071494,0.303500117453606,849.909150433786,950,529,0.347610448242502
2001,"AL","KCA","KCR","C",5,162,81,65,97,"N","N","N","N",729,5643,1503,277,37,152,406,898,100,42,44,47,858,779,4.87,5,1,30,4320,1537,209,576,911,117,204,0.981,"Kansas City Royals","Kauffman Stadium",1536371,107,108,"KCR","KCA","KCA",35422500,691,134,31,2310,0.409356725146199,0.318078175895765,0.727434901041964,1.46736111111111,0.291163793103448,729.011406844106,1037,375,0.318266492060894
2001,"NL","LAN","LAD","W",3,162,81,86,76,"N","N","N","N",758,5493,1399,264,27,206,519,1062,89,42,56,44,744,685,4.25,3,5,46,4352,1387,184,524,1212,116,138,0.981,"Los Angeles Dodgers","Dodger Stadium",3017143,92,91,"LAD","LAN","LAN",109105953,714,115,45,2335,0.425086473693792,0.322971204188482,0.748057677882274,1.31732536764706,0.27945654720075,744.931803060546,902,474,0.326649085215098
2001,"NL","MIL","MIL","C",4,162,81,68,94,"N","N","N","N",740,5488,1378,273,30,209,488,1399,66,36,72,35,806,740,4.64,3,8,28,4309,1452,197,667,1057,103,156,0.983,"Milwaukee Brewers","Miller Park",2811041,98,99,"MIL","ML4","MIL",43886833,712,102,44,2338,0.426020408163265,0.318592799605458,0.744613207768723,1.47528428869807,0.298595146871009,730.038152610442,866,444,0.325078655406524
2001,"AL","MIN","MIN","C",2,162,81,85,77,"N","N","N","N",771,5560,1514,328,38,164,495,1083,146,67,64,38,766,722,4.51,12,8,45,4324,1494,192,445,965,108,118,0.982,"Minnesota Twins","Hubert H Humphrey Metrodome",1782929,102,102,"MIN","MIN","MIN",24130000,717,124,42,2410,0.433453237410072,0.336689946402469,0.770143183812541,1.34528214616096,0.310273500344748,799.618497109827,984,453,0.33637448896157
